name,main_category
ASJAR Men's Ultra-Soft Lycra Material | Ice-Silk Men's Short | Underwear | Multi-Colored.,men's clothing
EditLook Men's Slim Fit Wash Knee Distressed Jeans Black,men's clothing
Pepe Jeans Men's Slim Fit Jeans (PIMC0003498_Dep-Indi_38W x 34L) Blue,men's clothing
Red Tape Men Blue Walking Shoes,men's shoes
"FEDUS USB 3.0 Extension Cable 1.5M, Aluminum Alloy USB Cable Extender SuperSpeed USB 3.0 Type A Male to USB A Female Exten...","tv, audio & cameras"
Boltove® Decoration Sky Blue Backdrop Curtain Tulle Net Transparent for Birthdays Anniversary Baby Shower Photo Shoot Wedd...,"tv, audio & cameras"
Neu Look Gym wear Leggings Ankle Length Workout Active wear | Stretchable Tights | High Waist Sports Fitness Yoga Track Pa...,women's clothing
Sidharth Gems Zircon Cubic Zirconia American Diamond Loose Natural Certified Precious Gemstone 6.25,accessories
"Dhanuka Agritech Limited DHANUKA AGRITECH Weedmar 2, 4-D Dimethyl Amine Salt 58% Sl (1000 ML) for lawns Garden and Crops W...",industrial supplies
MAUTIK SADIWALA 10 face rudraksha mala 10 mukhi rudraksha mala 10 mukhi rudraksha mala Ten face rudrksha mala 108+1= 109 B...,accessories
Catvision DD Free Dish Set Top Box for (90+ Channels | White),"tv, audio & cameras"
IndiWeaves� Boys Snowfall Solid Regular Fit Full Sleeves T-Shirts {Pack of 3},kids' fashion
TheGiftKart Sleek Back Cover Case for iPhone 11 | Slim Fit Protective Design | Ultra Matte Finish | Camera Protection Bump...,"tv, audio & cameras"
Homgeel Mini Sock Washing Machine Bidirectional Washing Blue Light Small Bucket with Handle Household Baby Clothes Underwe...,appliances
HammerSmith Men's Regular Fit Casual Shirts,men's clothing
Skechers Mens Max Cushioning Arch Fit Sneaker,men's shoes
Naman Shoe's kidsHossey Material Sports Shoes | Blue and Black,men's shoes
Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Black),accessories
Shining Diva Fashion Long Chain Angel Wings Pendent for Women and Girls (Silver)(rrsd8620np),accessories
DTR FASHION Women's Cotton Lycra Spandex Stretchable Gym WEAR and Sports WEAR_Single Size(Between 28-32 in INCHES Waist)_C...,women's clothing
FLAWISH Pair Universal 4inch Car Speaker Spacer Adapter Bracket Holder Black,"tv, audio & cameras"
Tailian Phoneholder Spacious Crossbody Arm-Strap Multipurpose Jogging Sling Bag,accessories
Mysha Grip Wire No Rolling Down Tummy Tucker Women's Shapewear,women's clothing
MITHILA Creation Men's Printed Regular Boxer Shorts Boxer Man Combo|| Boxer Men Cotton|| Boxer Men Combo|| Men Boxer|| Men...,men's clothing
Womens Seamless Butt Lifter Padded Control Panties Fake Buttock Briefs Hip Enhancer Underwear Shapewear Boyshort,women's clothing
Max Women Dress,women's clothing
PGSA2Z® 3-Blade Fan for 2mm Shaft (Multicolour) Pack of 1,appliances
"Earphone for Motorola Moto E7 Plus, E7 Plus, E7+, E7 + Universal Earphones Headset Music with 3.5mm Jack Hi-Fi Gaming Soun...","tv, audio & cameras"
Strontium Nitro A1 128GB Micro SDXC Memory Card 100MB/s A1 UHS-I U3 Class 10 with High Speed Adapter for Smartphones Table...,"tv, audio & cameras"
Sports India New ODI Retro Jersey 2022 Long Sleeve and CSKJersey 2022-23 Long Sleeve_Boys & Men,men's clothing
"Orient Electric New Air 24-inch 52-Watt High Speed Ceiling Fan (White, 600 mm)",appliances
Poomex Men's Cotton Inner Elastic IE Brief (Pack of 3) Colour May Vary,men's clothing
jainstar Art.Yoga and Exercise mat of4 mm (Blue) Yoga Mat with Yoga Mat Carry Strap 100% Eco Friendly,sports & fitness
HITAGE HPB-831 Earphones Headphones Earplugs Headset High Definition Sound Deep Extra Bass Wired Earphone with in-line Mic...,"tv, audio & cameras"
Blenzza Deco™ Nursery Print Glace Cotton Queen Size Bedsheet with 2 Pillow Covers(180 Tc)-Sunshine,home & kitchen
"DIGITEK® (DPTR 605 VD) (183 cm) Professional Heavy Duty Tripod, with 2 Way Adjustable Pan Head, for Digital Video Cameras,...","tv, audio & cameras"
Baggit Women's Sling Bag - XXS,accessories
Clovia Women's Non-Padded Non-Wired T-Shirt Bra in Baby Pink - Cotton Rich,women's clothing
LMDPRAJAPATIS Natural Certified 16.30 Carat Ruby/Manik Panchdhatu Gold Plated Birthstone/Rashi Ratan Adjustable Ring for M...,accessories
Calendar Women's Georgette Printed Silk Saree With Unstiched Blouse Piece,women's clothing
Imprexis Store Red Designer Punjabi Chuda Bridal Bangles for Women Traditional Chuda for Any Special Occasion,accessories
Dixcy Scott Men's Cotton Trunks (Pack of 4) (Dixcy-Move-Trunk-4-90_Assorted_L),men's clothing
JQR MOJ 401 Men's Running Shoes,men's shoes
Tweens Women's Cotton Non-Padded Wire Free T Shirt Bra,women's clothing
"ACESHLEY 19mm Soft Silicone Smartwatch Band, Color Metal Buckle Strap for Noise ColorFit Pulse, ColorFit Pro 2/Oxy, Noise ...","tv, audio & cameras"
Paperiva Aluminum Dream Catcher (Blue),home & kitchen
Boldfit Tummy Shaper for Women & Men Sweat Slim Belt Tummy Belt Shapewear for Belly. Body Shaper Belt for Stomach Fitness ...,women's clothing
FOURSEVEN® 925 Sterling Silver Make it Happen Story Bead with Black Triple Layer Faux Leather Magnetic Clasp Bracelet - Me...,accessories
Shopnet Wireless Bluetooth Speaker TG113 For Asus PadFone Infinity Ultra Boost Bass with DJ Sound Portable Home Speaker wi...,"tv, audio & cameras"
Van Heusen Academy Men Jeans,men's clothing
"TRUE BASKET Men's Cotton Vest, 100% Cotton Solid Vest for Men, Men's Cotton Undershirt",men's clothing
Safana Women's Sweatshirt,women's clothing
R&B Men Vest,men's clothing
"Aaojao Kids Comfortable Indoor & Outdoor Fur Slippers Flipflops for Girls - Brown, EU Size : 25 | UK Size : 8 | Age : 2 To...",kids' fashion
Swadeshi Blessings Exclusive Range Unglazed Clay Handi/Earthen Kadai/Clay Pot for Cooking & Serving with Lid (with Mirror ...,home & kitchen
